BGE,rate,medium
0.3315433172306551,0.24129652770294258,Glucose
0.3281614264318291,0.17118304985667823,Glucose
0.3854250664620976,0.46518281119027927,Glucose
0.3078590938260333,0.33465979682345365,Glucose
0.38392700362564247,0.41413025996662334,Glucose
0.3266156236183536,0.11875278009719809,Glucose
0.33398070717487316,0.27800765260313803,Glucose
0.28204753837568663,0.07665265418890664,Glucose
0.30853500898490366,0.09692412802341444,Glucose
0.3347794606427584,0.3172120519418795,Glucose
0.42832331698532566,0.3787615676813481,Glucose
0.297498990378658,0.11573704704730538,Glucose
0.42738412914241786,0.23844025473355596,Glucose
0.37438157692549356,0.09972320315779976,Glucose
0.4278843798855135,0.3094345097258757,Glucose
0.27731584884600824,0.1202697094015895,Glucose
0.42091346832234167,0.18833241496937952,Glucose
0.4249967900993531,0.20422111539935983,Glucose
0.42830515264318586,0.3952649539151603,Glucose
0.42964504948609583,1.06817721716157,Glucose
0.42174049379624295,0.18352408123174624,Glucose
0.4257010946144147,0.15649148632063067,Glucose
0.4254003593693413,0.11888892736943771,Glucose
0.4285979304295111,0.6708008085900927,Glucose
0.30866319671476294,0.4580229173658757,Glucose
0.4252319022977187,0.11399622260934245,Glucose
0.4253669524918401,0.14998291911914097,Glucose
0.425742625082346,0.15620611506495058,Glucose
0.4251894616382679,0.11373108730640809,Glucose
0.4283806377653431,0.4101391437915236,Glucose
0.42054471671244764,0.3425714246285039,Glucose
0.27244638410009947,0.07073052313180554,Glucose
0.37676163673633944,0.14070198568128298,Glucose
0.4278147367169608,0.30493710721246386,Glucose
0.42486806550892825,0.13773370522323752,Glucose
0.42720957792608644,0.297067894160943,Glucose
0.4262046242075522,0.21561280335553462,Glucose
0.42494130542450315,0.1411485170953598,Glucose
0.31453524828681856,0.18096798025286742,Glucose
0.28663400703223985,0.22424528627844753,Glucose
0.2642461537677365,0.16102691091998872,Glucose
0.42855500596890206,0.6329080770035849,Glucose
0.2617023165141217,0.24128774532809238,Pyruvate
0.25885339310625494,0.17117920002256432,Pyruvate
0.30408777360562234,0.4650723850744402,Pyruvate
0.24311831037703843,0.334643377509798,Pyruvate
0.3032769131025265,0.41410977324641907,Pyruvate
0.25742571247212265,0.11874414456903812,Pyruvate
0.263568969868438,0.27798925637647,Pyruvate
0.22202282132552564,0.07664430054120461,Pyruvate
0.24272068427932608,0.09692526489454724,Pyruvate
0.26436165039799014,0.3171972504764774,Pyruvate
0.33834099200697926,0.3787435026685292,Pyruvate
0.23443674235880965,0.11572328569940002,Pyruvate
0.3374023101995802,0.23843182750462955,Pyruvate
0.2948298693467106,0.09971772899556447,Pyruvate
0.3379018343738587,0.30941949446679473,Pyruvate
0.21860218666458084,0.1202577404257693,Pyruvate
0.3321600853174196,0.18831427832158953,Pyruvate
0.33525933693116466,0.2042057614373533,Pyruvate
0.33833038899583756,0.3952387901282761,Pyruvate
0.33963434127068876,1.0679634723307747,Pyruvate
0.3327861209672509,0.18351284172861038,Pyruvate
0.3357924888800877,0.15648313964154084,Pyruvate
0.3352780957546793,0.11888376563482797,Pyruvate
0.3386529679385677,0.6706203614821394,Pyruvate
0.2441168001749252,0.45795168925055096,Pyruvate
0.3350934259868578,0.11399573997125084,Pyruvate
0.3362495752278416,0.14989993683020786,Pyruvate
0.33582357260314405,0.15619795207016002,Pyruvate
0.334743426362337,0.11372731473714609,Pyruvate
0.33840025290666487,0.41012348092082807,Pyruvate
0.3320825102676898,0.34252229645014604,Pyruvate
0.21438635014791335,0.07072954565755354,Pyruvate
0.29681938448316175,0.140698792715246,Pyruvate
0.33785244715363033,0.3049236284826972,Pyruvate
0.33502096248260793,0.13771990159587397,Pyruvate
0.33737506019778496,0.2970426267682923,Pyruvate
0.33642537107728965,0.21559386827432322,Pyruvate
0.33510378844205096,0.14113473703153492,Pyruvate
0.24797143067223576,0.1809515604567521,Pyruvate
0.22572205759171407,0.22413609071999546,Pyruvate
0.2082734960750866,0.1610126705815058,Pyruvate
0.33866665089336856,0.6328070428698774,Pyruvate
0.2986487238431666,0.24129484153276093,Succinate
0.295504067208204,0.17118286793510853,Succinate
0.3473373230897859,0.4651681031517672,Succinate
0.27737464577732984,0.3346546855244711,Succinate
0.34596244192604214,0.41412360885890753,Succinate
0.2940061661285747,0.118753105561463,Succinate
0.3007483016255673,0.27799836326371363,Succinate
0.25373056545313244,0.07664925986172043,Succinate
0.27730911706608297,0.09692698682739084,Succinate
0.3016215242723062,0.31720764889523834,Succinate
0.38596345773757346,0.37875356375614155,Succinate
0.2677682049527647,0.11573159144099539,Succinate
0.3850151253302158,0.23843864094202583,Succinate
0.3368587650220755,0.09972041731706334,Succinate
0.3855175554742982,0.3094270932722293,Succinate
0.24963921002449935,0.12026537845395399,Succinate
0.3791113671553462,0.18832398753879992,Succinate
0.3826296588502024,0.20421495522054167,Succinate
0.385952068011376,0.3952546462876077,Succinate
0.38727120585251135,1.0680407731743926,Succinate
0.37984205441785646,0.1835209912896965,Succinate
0.383345875333457,0.1564824916905938,Succinate
0.3829263453505288,0.11888628216422444,Succinate
0.38629952434667264,0.6707543779012338,Succinate
0.2784674226273512,0.45801610165321227,Succinate
0.3827460314261766,0.11399785468455073,Succinate
0.3827580968301947,0.1499800016580842,Succinate
0.38338238308804495,0.15619713101902372,Succinate
0.3823653175404665,0.1137327102346166,Succinate
0.38602566377598846,0.41013203137154985,Succinate
0.3788444520219337,0.3425528729471532,Succinate
0.2450496910839253,0.07073181065175,Succinate
0.338934487989936,0.14070117630678178,Succinate
0.3854581113519337,0.30493322236687387,Succinate
0.382534804693218,0.1377312122200149,Succinate
0.3849132770686149,0.2970607611643278,Succinate
0.3839298783641162,0.2156074088003804,Succinate
0.38261412191369015,0.14114581220617312,Succinate
0.28305628160123303,0.18096055811914752,Succinate
0.25817992585200766,0.22423094055754106,Succinate
0.2377638810694473,0.1610223798912239,Succinate
0.3862517496226045,0.6328702764134194,Succinate
