Genome_size,Min_gen_time,percent_C,percent_N,percent_P
2.0e6,2.0,46.8372862225931,10.08794953515618,3.409382338640745
2.0808080808080807e6,2.0,46.95195956664959,9.887813728899047,3.2454765228151454
2.1616161616161615e6,2.0,47.056306537519895,9.705700219282303,3.0963304808108236
2.2424242424242427e6,2.0,47.15159293090754,9.539399852593984,2.960134975449206
2.323232323232323e6,2.0,47.238891053826784,9.387041164889109,2.835357328343417
2.404040404040404e6,2.0,47.31911476869141,9.24702922063581,2.720691330402595
2.484848484848485e6,2.0,47.39304726406846,9.117997145286225,2.615017548317488
2.5656565656565656e6,2.0,47.46136324186991,8.998767402663523,2.5173716117870595
2.646464646464647e6,2.0,47.52464677885573,8.888320621838679,2.426918683573162
2.727272727272727e6,2.0,47.58340580827176,8.785770322779902,2.3429327604905508
2.8080808080808083e6,2.0,47.63808393951618,8.690342287857991,2.264779779227349
2.888888888888889e6,2.0,47.68907016553226,8.601357619836888,2.191903741297235
2.9696969696969697e6,2.0,47.73670688231877,8.518218745672595,2.1238152505290597
3.0505050505050505e6,2.0,47.78129655075373,8.440397789840247,2.060081991135982
3.131313131313131e6,2.0,47.82310725951856,8.367426865536268,2.000320776472449
3.212121212121212e6,2.0,47.8623773933439,8.29888992733476,1.9441908765800031
3.2929292929292927e6,2.0,47.89931956878826,8.234415902195941,1.8913883926688488
3.373737373737374e6,2.0,47.934123967187425,8.173672872573636,1.8416414932401144
3.454545454545454e6,2.0,47.966961168985776,8.116363129745316,1.794706362896859
3.535353535353535e6,2.0,47.99798457368584,8.062218950349706,1.7503637434425325
3.6161616161616165e6,2.0,48.02733247386517,8.010998976669944,1.7084159694307135
3.696969696969697e6,2.0,48.05512983916012,7.962485103102369,1.668684418267217
3.7777777777777775e6,2.0,48.081489856085696,7.916479788757011,1.6310073093025117
3.8585858585858587e6,2.0,48.106515261501585,7.872803730201043,1.5952377978715335
3.9393939393939395e6,2.0,48.13029950102672,7.831293839713936,1.5612423195392904
4.02020202020202e6,2.0,48.15292773842539,7.791801483637439,1.5288991473571136
4.1010101010101014e6,2.0,48.17447773768453,7.754190942913652,1.4980971310849533
4.1818181818181816e6,2.0,48.195020635979475,7.718338064052022,1.4687345923698074
4.262626262626262e6,2.0,48.21462162282996,7.684129073819515,1.4407183540090158
4.343434343434343e6,2.0,48.233340538358654,7.651459535118798,1.4139628848427086
4.424242424242424e6,2.0,48.25123240158436,7.620233424974532,1.3883895446494987
4.5050505050505055e6,2.0,48.268347878036145,7.590362318421076,1.3639259157725798
4.585858585858586e6,2.0,48.28473369460049,7.5617646644826815,1.3405052101670647
4.666666666666666e6,2.0,48.30043300836339,7.534365142444879,1.3180657422036581
4.747474747474748e6,2.0,48.31548573524282,7.508094088302626,1.2965504589451884
4.828282828282828e6,2.0,48.32992884339217,7.48288698269223,1.275906520776695
4.909090909090909e6,2.0,48.34379661566739,7.458683992815838,1.2560849262539637
4.98989898989899e6,2.0,48.35712088486594,7.435429561886137,1.237040175869839
5.070707070707071e6,2.0,48.369931244949925,7.413072040485265,1.2187299701471301
5.151515151515151e6,2.0,48.38225524104218,7.391563354970539,1.2011149380718704
5.232323232323232e6,2.0,48.39411854062248,7.370858708691087,1.184158392397811
5.313131313131313e6,2.0,48.40554508804079,7.350916312320639,1.1678261087962634
5.393939393939394e6,2.0,48.41655724419825,7.3316971400767565,1.1520861262062465
5.474747474747475e6,2.0,48.427175913016804,7.3131647089972915,1.1369085660678635
5.555555555555555e6,2.0,48.437420656120544,7.295284878790594,1.1222654684050357
5.636363636363636e6,2.0,48.447309796980356,7.278025670075151,1.1081306429686804
5.717171717171717e6,2.0,48.456860515624705,7.261357099083793,1.094479533863919
5.797979797979798e6,2.0,48.46608893489039,7.2452510271329595,1.0812890962694826
5.878787878787879e6,2.0,48.475010199074475,7.2296810233539235,1.0685376840182836
5.95959595959596e6,2.0,48.483638545750594,7.214622239354029,1.0562049469483719
6.04040404040404e6,2.0,48.491987371426966,7.200051294625872,1.0442717370561359
6.121212121212121e6,2.0,48.50006929164821,7.185946171653379,1.0327200225910258
6.202020202020203e6,2.0,48.50789619607737,7.172286119778929,1.0215328093253238
6.282828282828283e6,2.0,48.51547929903632,7.159051566996784,1.0106940683153456
6.363636363636363e6,2.0,48.52282918593176,7.146224038927196,1.0001886695434217
6.444444444444445e6,2.0,48.529955855949105,7.13378608430414,0.9900023208943725
6.525252525252525e6,2.0,48.53686876135655,7.121721206379096,0.9801215119770526
6.606060606060606e6,2.0,48.54357684372667,7.110013799704691,0.9705334623518639
6.686868686868687e6,2.0,48.55008856735141,7.0986490918165295,0.9612260737697557
6.767676767676767e6,2.0,48.55641195009881,7.087613089379882,0.952187886067811
6.848484848484849e6,2.0,48.56255459193523,7.076892528410856,0.943408036401737
6.929292929292929e6,2.0,48.56852370131454,7.066474828219999,0.9348762215269156
7.010101010101011e6,2.0,48.57432611961679,7.056348048760337,0.9265826628676063
7.090909090909091e6,2.0,48.579968343800886,7.0465008510923965,0.9185180741388604
7.1717171717171725e6,2.0,48.5854565474204,7.036922460705913,0.9106736313079979
7.252525252525253e6,2.0,48.59079660013777,7.027602633462382,0.9030409447024733
7.333333333333333e6,2.0,48.59599408585933,7.018531623944406,0.8956120330888492
7.414141414141415e6,2.0,48.601054319602866,7.009700156017448,0.8883792995636658
7.494949494949495e6,2.0,48.60598236319865,7.001099395427206,0.8813355091114314
7.575757575757576e6,2.0,48.61078303991639,6.9927209242716755,0.8744737676979324
7.656565656565657e6,2.0,48.615460948102054,6.984556717201262,0.8677875027787718
7.737373737373738e6,2.0,48.620020473901135,6.976599119213198,0.8612704451135864
7.818181818181818e6,2.0,48.62446580313848,6.968840824918078,0.8549166117859173
7.898989898989899e6,2.0,48.62880093241856,6.96127485916696,0.8487202903373091
7.97979797979798e6,2.0,48.63302967950464,6.953894558936826,0.8426760239320069
8.060606060606061e6,2.0,48.63715569303058,6.946693556380958,0.8367785974756667
8.141414141414141e6,2.0,48.641182461594205,6.9396657629584855,0.8310230246178847
8.222222222222222e6,2.0,48.645113322277474,6.932805354564507,0.825404535574164
8.303030303030303e6,2.0,48.64895146863461,6.926106757588569,0.8199185657081945
8.3838383838383835e6,2.0,48.65269995818634,6.919564635835205,0.8145607448201237
8.464646464646464e6,2.0,48.656361719455205,6.91317387824551,0.8093268870908537
8.545454545454547e6,2.0,48.659939558573974,6.906929587363584,0.804212981636377
8.626262626262626e6,2.0,48.66343616549697,6.90082706849614,0.7992151836297855
8.707070707070706e6,2.0,48.666854119841545,6.894861819517567,0.7943298059518912
8.787878787878787e6,2.0,48.67019589638494,6.889029521276447,0.7895533113344266
8.868686868686868e6,2.0,48.67346387023977,6.883326028562904,0.7848823049625465
8.94949494949495e6,2.0,48.67666032172971,6.8777473615992415,0.780313527505885
9.03030303030303e6,2.0,48.67978744098524,6.872289698019131,0.7758438485497345
9.11111111111111e6,2.0,48.68284733227783,6.866949365303249,0.7714702604000343
9.191919191919193e6,2.0,48.68584201810976,6.861722833641598,0.7671898722378057
9.272727272727272e6,2.0,48.68877344307503,6.856606709194948,0.7629999046004511
9.353535353535354e6,2.0,48.69164347750648,6.851597727729823,0.7588976841689812
9.434343434343435e6,2.0,48.6944539209223,6.846692748603308,0.7548806388417398
9.515151515151516e6,2.0,48.6972065052848,6.84188874907567,0.7509462930765852
9.595959595959596e6,2.0,48.69990289808307,6.837182818930283,0.747092263484765
9.676767676767677e6,2.0,48.702544705250425,6.832572155381881,0.7433162546608997
9.757575757575758e6,2.0,48.70513347392684,6.82805405825537,0.739616055234574
9.838383838383839e6,2.0,48.707670695075784,6.823625925418788,0.7359895341300412
9.91919191919192e6,2.0,48.71015780596423,6.819285248454992,0.7324346370214643
1.0e7,2.0,48.712596192514006,6.815029608557833,0.7289493829719815
