BGE,rate,JV,JE,size
0.133776423477188,0.005018883300527798,7.198187037294957e-8,6.001126758785806e-10,1
0.13401509712968834,0.004961601697402154,6.8527692979508e-8,5.983177245254967e-10,1
NaN,0.002310662097548482,5.9308722619113166e-8,2.6375956159253406e-10,1
NaN,0.004205905110720123,6.564486069318643e-8,4.979505079859018e-10,1
0.14522064597461776,0.00506370990630269,7.08481821368446e-8,6.108819532630479e-10,1
0.17597176033644824,0.005650287019275892,7.094497782195311e-8,6.950437466308587e-10,1
NaN,0.001963079029415139,5.8081595436097735e-8,2.2219920492743992e-10,1
0.11318551677454312,0.004714546339527484,6.624493105878743e-8,5.648080160965276e-10,1
0.5738186333743145,0.004412902435190852,6.676998046003236e-8,5.234949761064644e-10,1
0.10895567500000425,0.004653481051819381,6.537157584565106e-8,5.567733385177276e-10,1
0.5733813955064053,0.004438250222633105,6.677219568184715e-8,5.268029892384154e-10,1
0.12995520442708774,0.00491145475720068,6.79808051010909e-8,5.915554461743362e-10,1
0.140921328707656,0.005009465319752644,7.084208418689073e-8,6.034701811064582e-10,1
0.08561984259849273,0.004548042763604151,6.67636538226211e-8,5.398234903222407e-10,1
0.13532912389681562,0.004952853431915568,7.036157189110359e-8,5.961113085147349e-10,1
0.20442172696806038,0.005828974536672285,7.48735040075914e-8,7.147961373569696e-10,1
0.17285203565340818,0.005407093083710667,7.087065585682757e-8,6.569053744972055e-10,1
0.19083638929566718,0.005715667857543325,7.090556622880002e-8,7.001175790755739e-10,1
0.16778120735487353,0.005358705885738686,7.339140470347104e-8,6.443941010885561e-10,1
0.1053167926074651,0.004701700364412827,7.816429519530291e-8,5.581315881351402e-10,1
0.17964161638710474,0.0054978774107281424,7.562123916252601e-8,6.627664502371738e-10,1
0.14092121202112814,0.0050094639280172885,7.084208404404137e-8,6.034699926583241e-10,1
0.133776423477188,0.005018883300527798,7.198187037294957e-8,6.001126758785806e-10,1
0.15477398623352015,0.005264303265808318,7.338901495469648e-8,6.323356907437054e-10,1
0.13377629214147785,0.005018881855111637,7.198186027830693e-8,6.001124865139396e-10,1
0.23501388036185505,0.0078115590387729476,7.202464812849178e-8,6.457793615668439e-10,2
0.6220423201221061,0.006266513434790189,6.741352817605066e-8,5.018864798787863e-10,2
NaN,0.0018808290372579308,5.726047401322296e-8,1.3868305074842983e-10,2
NaN,0.003777260692921834,6.110736542209413e-8,2.854028988890407e-10,2
0.21582729008517715,0.007301768761007426,7.009096642890864e-8,5.977899319849082e-10,2
0.15668372907300093,0.0062112791072643295,6.791304930083182e-8,4.87008503149817e-10,2
NaN,0.001426509530554974,5.725295778136968e-8,1.0457080909972055e-10,2
0.6251932156685381,0.00631633482493113,6.77914457491522e-8,5.063231407999672e-10,2
NaN,0.004671573016347222,6.247041273171566e-8,3.577425243380515e-10,2
0.16220394530500068,0.006225222123948112,6.790689311569891e-8,4.877776076769586e-10,2
NaN,0.004691503640131009,6.260006958811944e-8,3.594044222300023e-10,2
0.6213973337488364,0.006187043965029114,6.707384897096206e-8,4.945934272680735e-10,2
0.2150438373210093,0.007257892155649931,7.008387588861253e-8,5.934430622811877e-10,2
0.16814162432174717,0.006430941281477831,6.792328103517932e-8,5.057226504114258e-10,2
0.21280274654920933,0.00725699198388674,7.009516549389002e-8,5.939936056307259e-10,2
0.2720131451075638,0.009591065895621665,7.364920110424595e-8,8.259814346791157e-10,2
0.24962061281541945,0.008560847853994816,7.347899430567643e-8,7.20598794583096e-10,2
0.2461512418154095,0.008527820897723273,7.350098881984341e-8,7.182777042466861e-10,2
0.27401596518727195,0.009438095163648645,7.357976988988394e-8,8.01773331117291e-10,2
0.28458841530236123,0.009374079269583693,7.85029887593741e-8,1.0453455691430945e-9,2
0.282930187172445,0.00989041207393437,7.392012159525332e-8,8.485988695182774e-10,2
0.21504378509348104,0.007257890238435806,7.008387567038457e-8,5.934428775936139e-10,2
0.23501388036185505,0.0078115590387729476,7.202464812849178e-8,6.457793615668439e-10,2
0.2466504347549408,0.008275276860872528,7.341113966146106e-8,6.914606942304006e-10,2
0.23501383032505724,0.007811556919014397,7.202463735342393e-8,6.457791534133395e-10,2
0.22695434708981269,0.008730038380660401,7.080862324295008e-8,5.958800128281297e-10,3
0.1443134318855476,0.0058978656296803204,6.392739676068378e-8,3.811938559336192e-10,3
NaN,0.0013470317000427601,5.6427109301252196e-8,8.141541351675742e-11,3
NaN,0.0028923337679689206,5.763132259131861e-8,1.7710885738254084e-10,3
0.19676657244351065,0.00754558605489829,6.803210806536821e-8,5.035579787793397e-10,3
NaN,0.005099681149660985,6.445109998431187e-8,3.211700575571532e-10,3
NaN,0.000981705821224105,5.5781658593522676e-8,5.913355445383736e-11,3
0.15581867446897116,0.006201965361841077,6.522537146909913e-8,4.0334123432745945e-10,3
NaN,0.003850929984823364,6.027748728503924e-8,2.387061827448341e-10,3
0.12780764839393702,0.005785695268066592,6.616407984309656e-8,3.6759713611754795e-10,3
NaN,0.003866284823781263,6.027790702324318e-8,2.39712510958179e-10,3
0.14074471423208512,0.006129849845139821,6.618398329489305e-8,3.91293949820467e-10,3
0.19664140816295395,0.0075195028160567464,6.802802243300965e-8,5.014650174602425e-10,3
0.6128930663319614,0.006043786835738713,6.433776409436256e-8,3.919994967815599e-10,3
0.1973600688219091,0.007647487900529527,6.804982164597278e-8,5.118411287033866e-10,3
0.26231042103206,0.01061953607673929,7.219923517827834e-8,7.982516890959657e-10,3
0.2405646043088439,0.009611805061893977,7.095860321073447e-8,6.682875271790506e-10,3
0.2299108444083447,0.009097198803143393,7.089310838210815e-8,6.264196549883392e-10,3
0.27510760255330935,0.011485468168207816,7.232577832866171e-8,8.577262727816194e-10,3
0.30461104746480433,0.013418670557213892,7.817614073649098e-8,1.3429622901377816e-9,3
0.28370647310716235,0.012900396094207008,7.325453444819434e-8,9.361510502502807e-10,3
0.1966413618110768,0.007519500769464569,6.802802224298129e-8,5.014648594221126e-10,3
0.22695434708981269,0.008730038380660401,7.080862324295008e-8,5.958800128281297e-10,3
0.23795133202977714,0.009346135800122921,7.090445867350769e-8,6.459163129544103e-10,3
0.22695430767734748,0.008730035985472367,7.080862283560597e-8,5.958798195707723e-10,3
