Vcell,kE,yEV,yEVr,response,gmax,VP,VR
2.5373409150352896e-17,0.9907577927636582,3.254066731884918,1.2687762783132508,positive,0.09902102579427789,8.262115880102117e-19,8.257549884082165e-20
9.035808880156781e-18,2.2477286136540786,1.4218324883956057,2.2709811740999424,negative,0.5291199851602636,4.010541655942806e-19,9.440898374414063e-20
7.54618220216719e-18,1.69596609104671,1.8951865020914385,1.643835616438356,undefined,0.2493335181870307,3.5353727241572004e-19,5.197550375978029e-20
3.114275299679337e-17,1.088478186013862,2.9610380567398775,1.2687762783132508,positive,0.11381727102790563,9.536214406659393e-19,9.971590736951599e-20
3.611416793480116e-17,1.1326637389803507,2.845114624814368,1.2687762783132508,positive,0.12096809433855937,1.057792382781527e-18,1.1297185947359537e-19
2.7517566978850416e-17,1.1875567207318467,2.7130907162325375,1.2687762783132508,positive,0.13029082341352355,8.744865387311174e-19,9.594284568159741e-20
3.7367078633653e-17,1.8018828768112505,1.782483165497193,1.7623578889729934,positive,0.28524575331684987,1.0833493029168268e-18,1.7149882047975348e-19
1.13620640680465e-17,1.6624263683109595,1.933827646066608,1.2687762783132508,positive,0.23901626915860183,4.70810532348564e-19,6.769104428779115e-20
2.8191271254979403e-18,1.773422708309495,1.81146402347857,1.643835616438356,undefined,0.2750584049841053,1.774624072272101e-19,2.7524473690249754e-20
3.7384411726024834e-18,1.496936862172548,2.1495740332613082,1.4398745025029083,undefined,0.19415887410642726,2.1622678540189219e-19,2.80455043002637e-20
5.827881975291256e-18,1.071066953253495,3.00933948670884,1.4398745025029083,positive,0.11108127893588866,2.950418548224638e-19,3.059904562804615e-20
1.6056902629174777e-17,1.088478186013862,2.9610380567398784,1.2687762783132508,positive,0.11381727102790563,5.99776364857465e-19,6.27159183824422e-20
8.167054100175671e-18,1.5523212035205483,2.072291745310969,1.643835616438356,undefined,0.20815230647445804,3.736559556198654e-19,5.010390170140014e-20
7.966994947998696e-18,1.7132422293119067,1.8758659301038538,1.7043361957598753,negative,0.25483352226468575,3.6722503872248167e-19,5.462231112469185e-20
4.788234489267312e-18,1.4902886097811696,2.1592343192551,1.58023989156911,negative,0.1925408834888737,2.5712771677068247e-19,3.3220141005958347e-20
6.977176635928415e-18,1.8650105792362643,1.7213013542031739,1.7043361957598753,negative,0.3094407056071184,3.3465853729371715e-19,5.552621259661772e-20
4.1547709615013645e-18,1.8615802572154188,1.7245214495344379,1.5126815303642844,undefined,0.3080654135821979,2.32813986497178e-19,3.8527448257995705e-20
7.907539563706153e-19,1.1960382094412707,2.6937701442449504,1.4398745025029083,undefined,0.13177703052470444,7.288783785413742e-20,8.030632096838548e-21
5.417784754863607e-18,1.430956861094157,2.249396988530497,1.2687762783132508,undefined,0.17864618055668693,2.803504960121898e-19,3.500003856961478e-20
1.931028123587674e-17,1.281439026953949,2.5134448056941583,1.3597733711048157,positive,0.1474781235233926,6.824614511843729e-19,7.854305361447346e-20
1.6085264954990763e-17,1.2327180846114631,2.613267760963348,1.3597733711048157,positive,0.13835273065068768,6.00517764649972e-19,6.739843730755148e-20
3.408544956205021e-17,1.2163061986697106,2.6486888096072545,1.2687762783132508,positive,0.13538030870311432,1.0158379294776354e-18,1.1306729558348628e-19
2.3015892424590775e-18,2.0210997116637746,1.5860573502900788,1.5126815303642844,undefined,0.3808500992087611,1.539733572811882e-19,2.901428764629e-20
4.061529658325765e-17,1.3761459723751228,2.339559657805894,1.7623578889729934,negative,0.166621918403833,1.1484414168380058e-18,1.3905175460252925e-19
4.3669975390179214e-17,1.339486861729633,2.4039615644311767,1.643835616438356,positive,0.15897871113760212,1.2082426699448141e-18,1.4340182639884144e-19
2.4976764074585267e-17,1.4412048173616492,2.233296511874176,1.58023989156911,positive,0.1809783761253121,8.171493247787405e-19,1.0261300549985728e-19
4.686110672359683e-18,1.066517473477028,3.022219868033896,1.8726789939300528,undefined,0.11037375486623333,2.53276493454085e-19,2.621155142516515e-20
